level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1728	2200	-1	
2	1	1	0	0	0	1443	72	199	18	-1	
3	1	1	1	0	0	1443	72	199	18	-1	
4	1	1	1	1	0	1443	72	199	18	-1	
5	1	1	1	1	1	1443	72	93	18	95	SECTION
5	1	1	1	1	2	1546	72	8	17	78	I
5	1	1	1	1	3	1577	73	65	17	85	1948-51
2	1	2	0	0	0	636	96	624	47	-1	
3	1	2	1	0	0	636	96	624	47	-1	
4	1	2	1	1	0	636	96	624	47	-1	
5	1	2	1	1	1	636	96	255	47	92	GEARBOX,
5	1	2	1	1	2	919	97	132	38	95	MAIN
5	1	2	1	1	3	1080	98	180	39	95	CASING
2	1	3	0	0	0	355	157	83	18	-1	
3	1	3	1	0	0	355	157	83	18	-1	
4	1	3	1	1	0	355	157	83	18	-1	
5	1	3	1	1	1	355	157	83	18	95	1234
2	1	4	0	0	0	252	150	57	39	-1	
3	1	4	1	0	0	252	150	57	39	-1	
4	1	4	1	1	0	252	150	57	39	-1	
5	1	4	1	1	1	252	150	57	39	96	PLATE
2	1	5	0	0	0	538	156	185	23	-1	
3	1	5	1	0	0	538	156	185	23	-1	
4	1	5	1	1	0	538	156	185	23	-1	
5	1	5	1	1	1	538	156	185	23	95	DESCRIPTION
2	1	6	0	0	0	862	157	166	26	-1	
3	1	6	1	0	0	862	157	166	26	-1	
4	1	6	1	1	0	862	157	166	26	-1	
5	1	6	1	1	1	862	157	46	26	82	Qty.
5	1	6	1	1	2	936	158	45	21	82	Part
5	1	6	1	1	3	989	158	39	21	96	No.
2	1	7	0	0	0	1273	159	130	23	-1	
3	1	7	1	0	0	1273	159	130	23	-1	
4	1	7	1	1	0	1273	159	130	23	-1	
5	1	7	1	1	1	1273	159	130	23	95	REMARKS
2	1	8	0	0	0	325	193	230	24	-1	
3	1	8	1	0	0	325	193	230	24	-1	
4	1	8	1	1	0	325	193	230	24	-1	
5	1	8	1	1	1	325	195	72	22	95	Centre
5	1	8	1	1	2	406	193	30	23	95	for
5	1	8	1	1	3	444	194	45	22	96	dust
5	1	8	1	1	4	498	203	57	13	96	cover
2	1	9	0	0	0	947	197	75	22	-1	
3	1	9	1	0	0	947	197	75	22	-1	
4	1	9	1	1	0	947	197	75	22	-1	
5	1	9	1	1	1	947	197	75	22	96	232627
2	1	10	0	0	0	328	227	244	27	-1	
3	1	10	1	0	0	328	227	244	27	-1	
4	1	10	1	1	0	328	227	244	27	-1	
5	1	10	1	1	1	328	228	50	26	84	Joint
5	1	10	1	1	2	386	227	74	23	96	washer
5	1	10	1	1	3	468	227	30	23	96	for
5	1	10	1	1	4	507	234	65	16	96	centre
2	1	11	0	0	0	948	230	76	22	-1	
3	1	11	1	0	0	948	230	76	22	-1	
4	1	11	1	1	0	948	230	76	22	-1	
5	1	11	1	1	1	948	230	76	22	96	213662
2	1	12	0	0	0	326	261	334	27	-1	
3	1	12	1	0	0	326	261	334	27	-1	
4	1	12	1	1	0	326	261	334	27	-1	
5	1	12	1	1	1	326	261	102	22	95	Grommet
5	1	12	1	1	2	437	261	30	22	96	for
5	1	12	1	1	3	475	261	40	22	94	bell
5	1	12	1	1	4	523	261	83	27	96	housing
5	1	12	1	1	5	615	262	45	22	95	hole
2	1	13	0	0	0	949	263	75	22	-1	
3	1	13	1	0	0	949	263	75	22	-1	
4	1	13	1	1	0	949	263	75	22	-1	
5	1	13	1	1	1	949	263	75	22	95	232604
2	1	14	0	0	0	325	294	341	27	-1	
3	1	14	1	0	0	325	294	341	27	-1	
4	1	14	1	1	0	325	294	341	27	-1	
5	1	14	1	1	1	325	295	103	22	96	Grommet
5	1	14	1	1	2	437	294	30	22	96	for
5	1	14	1	1	3	475	294	40	22	95	bell
5	1	14	1	1	4	524	295	83	26	96	housing
5	1	14	1	1	5	615	295	51	22	96	shaft
2	1	15	0	0	0	948	297	75	22	-1	
3	1	15	1	0	0	948	297	75	22	-1	
4	1	15	1	1	0	948	297	75	22	-1	
5	1	15	1	1	1	948	297	75	22	95	233380
2	1	16	0	0	0	325	327	274	27	-1	
3	1	16	1	0	0	325	327	274	27	-1	
4	1	16	1	1	0	325	327	274	27	-1	
5	1	16	1	1	1	325	328	72	26	96	Spring
5	1	16	1	1	2	405	327	31	22	96	for
5	1	16	1	1	3	444	328	51	22	96	shaft
5	1	16	1	1	4	503	334	96	20	96	grommet
2	1	17	0	0	0	949	330	74	22	-1	
3	1	17	1	0	0	949	330	74	22	-1	
4	1	17	1	1	0	949	330	74	22	-1	
5	1	17	1	1	1	949	330	74	22	95	233379
2	1	18	0	0	0	325	361	128	27	-1	
3	1	18	1	0	0	325	361	128	27	-1	
4	1	18	1	1	0	325	361	128	27	-1	
5	1	18	1	1	1	325	361	76	27	96	Special
5	1	18	1	1	2	410	361	43	22	96	bolt
2	1	19	0	0	0	948	363	75	23	-1	
3	1	19	1	0	0	948	363	75	23	-1	
4	1	19	1	1	0	948	363	75	23	-1	
5	1	19	1	1	1	948	363	75	23	95	232930
2	1	20	0	0	0	1048	364	72	21	-1	
3	1	20	1	0	0	1048	364	72	21	-1	
4	1	20	1	1	0	1048	364	72	21	-1	
5	1	20	1	1	1	1048	364	72	21	14	LHD
2	1	21	0	0	0	325	395	136	22	-1	
3	1	21	1	0	0	325	395	136	22	-1	
4	1	21	1	1	0	325	395	136	22	-1	
5	1	21	1	1	1	325	395	54	22	96	Plain
5	1	21	1	1	2	387	395	74	22	96	washer
2	1	22	0	0	0	972	397	51	22	-1	
3	1	22	1	0	0	972	397	51	22	-1	
4	1	22	1	1	0	972	397	51	22	-1	
5	1	22	1	1	1	972	397	51	22	93	2226
2	1	23	0	0	0	324	428	202	27	-1	
3	1	23	1	0	0	324	428	202	27	-1	
4	1	23	1	1	0	324	428	202	27	-1	
5	1	23	1	1	1	324	428	121	27	91	Shakeproof
5	1	23	1	1	2	452	429	74	21	96	washer
2	1	24	0	0	0	561	429	173	26	-1	
3	1	24	1	0	0	561	429	173	26	-1	
4	1	24	1	1	0	561	429	173	26	-1	
5	1	24	1	1	1	561	429	70	26	96	Fixing
5	1	24	1	1	2	639	430	67	25	96	spring
5	1	24	1	1	3	714	435	20	16	96	to
2	1	25	0	0	0	961	431	61	21	-1	
3	1	25	1	0	0	961	431	61	21	-1	
4	1	25	1	1	0	961	431	61	21	-1	
5	1	25	1	1	1	961	431	61	21	94	71082
2	1	26	0	0	0	324	461	136	27	-1	
3	1	26	1	0	0	324	461	136	27	-1	
4	1	26	1	1	0	324	461	136	27	-1	
5	1	26	1	1	1	324	462	43	22	96	Nut
5	1	26	1	1	2	375	461	20	26	85	(2
5	1	26	1	1	3	404	461	56	27	65	B.A.)
2	1	27	0	0	0	560	462	131	27	-1	
3	1	27	1	0	0	560	462	131	27	-1	
4	1	27	1	1	0	560	462	131	27	-1	
5	1	27	1	1	1	560	462	40	22	94	bell
5	1	27	1	1	2	608	463	83	26	96	housing
2	1	28	0	0	0	971	464	49	22	-1	
3	1	28	1	0	0	971	464	49	22	-1	
4	1	28	1	1	0	971	464	49	22	-1	
5	1	28	1	1	1	971	464	49	22	95	2247
2	1	29	0	0	0	324	495	95	27	-1	
3	1	29	1	0	0	324	495	95	27	-1	
4	1	29	1	1	0	324	495	95	27	-1	
5	1	29	1	1	1	324	495	52	27	96	Split
5	1	29	1	1	2	384	495	35	26	95	pin
2	1	30	0	0	0	971	497	50	23	-1	
3	1	30	1	0	0	971	497	50	23	-1	
4	1	30	1	1	0	971	497	50	23	-1	
5	1	30	1	1	1	971	497	50	23	95	3359
2	1	31	0	0	0	324	528	136	23	-1	
3	1	31	1	0	0	324	528	136	23	-1	
4	1	31	1	1	0	324	528	136	23	-1	
5	1	31	1	1	1	324	528	54	23	96	Plain
5	1	31	1	1	2	385	528	75	22	96	washer
2	1	32	0	0	0	876	531	20	21	-1	
3	1	32	1	0	0	876	531	20	21	-1	
4	1	32	1	1	0	876	531	20	21	-1	
5	1	32	1	1	1	876	531	20	21	90	12
2	1	33	0	0	0	971	531	49	22	-1	
3	1	33	1	0	0	971	531	49	22	-1	
4	1	33	1	1	0	971	531	49	22	-1	
5	1	33	1	1	1	971	531	49	22	96	2210
2	1	34	0	0	0	324	562	135	22	-1	
3	1	34	1	0	0	324	562	135	22	-1	
4	1	34	1	1	0	324	562	135	22	-1	
5	1	34	1	1	1	324	562	53	22	96	Plain
5	1	34	1	1	2	385	562	74	22	96	washer
2	1	35	0	0	0	498	562	160	27	-1	
3	1	35	1	0	0	498	562	160	27	-1	
4	1	35	1	1	0	498	562	160	27	-1	
5	1	35	1	1	1	498	562	69	27	96	Fixing
5	1	35	1	1	2	576	563	82	26	96	gearbox
2	1	36	0	0	0	969	564	50	22	-1	
3	1	36	1	0	0	969	564	50	22	-1	
