level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1728	2200	-1	
2	1	1	0	0	0	776	150	225	77	-1	
3	1	1	1	0	0	776	150	225	77	-1	
4	1	1	1	1	0	776	150	225	77	-1	
5	1	1	1	1	1	776	150	225	77	94	LAND
2	1	2	0	0	0	954	242	214	75	-1	
3	1	2	1	0	0	954	242	214	75	-1	
4	1	2	1	1	0	954	242	214	75	-1	
5	1	2	1	1	1	954	242	214	75	95	OVER
2	1	3	0	0	0	654	471	507	71	-1	
3	1	3	1	0	0	654	471	507	71	-1	
4	1	3	1	1	0	654	471	507	71	-1	
5	1	3	1	1	1	654	471	507	71	96	SECTION
2	1	4	0	0	0	1246	471	10	69	-1	
3	1	4	1	0	0	1246	471	10	69	-1	
4	1	4	1	1	0	1246	471	10	69	-1	
5	1	4	1	1	1	1246	471	10	69	84	|
2	1	5	0	0	0	652	703	234	59	-1	
3	1	5	1	0	0	652	703	234	59	-1	
4	1	5	1	1	0	652	703	234	59	-1	
5	1	5	1	1	1	652	703	234	59	77	1948-5]
2	1	6	0	0	0	951	702	305	60	-1	
3	1	6	1	0	0	951	702	305	60	-1	
4	1	6	1	1	0	951	702	305	60	-1	
5	1	6	1	1	1	951	702	305	60	96	MODELS
2	1	7	0	0	0	649	921	592	37	-1	
3	1	7	1	0	0	649	921	592	37	-1	
4	1	7	1	1	0	649	921	592	37	-1	
5	1	7	1	1	1	649	923	74	34	96	For
5	1	7	1	1	2	757	922	201	36	95	vehicles
5	1	7	1	1	3	993	921	248	37	95	numbered
2	1	8	0	0	0	1254	949	5	6	-1	
3	1	8	1	0	0	1254	949	5	6	-1	
4	1	8	1	1	0	1254	949	5	6	-1	
5	1	8	1	1	1	1254	949	5	6	58	.
2	1	9	0	0	0	1256	932	6	7	-1	
3	1	9	1	0	0	1256	932	6	7	-1	
4	1	9	1	1	0	1256	932	6	7	-1	
5	1	9	1	1	1	1256	932	6	7	63	.
2	1	10	0	0	0	389	1023	100	23	-1	
3	1	10	1	0	0	389	1023	100	23	-1	
4	1	10	1	1	0	389	1023	100	23	-1	
5	1	10	1	1	1	389	1023	100	23	96	MODEL
2	1	11	0	0	0	1139	1020	73	23	-1	
3	1	11	1	0	0	1139	1020	73	23	-1	
4	1	11	1	1	0	1139	1020	73	23	-1	
5	1	11	1	1	1	1139	1020	73	23	96	YEAR
2	1	12	0	0	0	753	1059	84	22	-1	
3	1	12	1	0	0	753	1059	84	22	-1	
4	1	12	1	1	0	753	1059	84	22	-1	
5	1	12	1	1	1	753	1059	84	22	89	1948-49
2	1	13	0	0	0	1115	1057	48	22	-1	
3	1	13	1	0	0	1115	1057	48	22	-1	
4	1	13	1	1	0	1115	1057	48	22	-1	
