level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1728	2200	-1	
2	1	1	0	0	0	291	96	1035	71	-1	
3	1	1	1	0	0	188	96	1138	71	-1	
4	1	1	1	1	0	291	96	1035	71	-1	
5	1	1	1	1	1	188	109	120	23	3	secHONT!
5	1	1	1	1	2	331	106	196	19	0	Ss
5	1	1	1	1	3	552	124	87	40	12	waa
5	1	1	1	1	4	668	115	168	44	91	JOINTS
5	1	1	1	1	5	865	110	106	41	96	AND
5	1	1	1	1	6	999	101	166	44	96	FRONT
5	1	1	1	1	7	1194	96	132	42	96	HUBS
2	1	2	0	0	0	1647	149	74	25	-1	
3	1	2	1	0	0	1647	149	74	25	-1	
4	1	2	1	1	0	1647	149	74	25	-1	
5	1	2	1	1	1	1647	149	74	25	43	fate
2	1	3	0	0	0	1657	171	36	17	-1	
3	1	3	1	0	0	1657	171	36	17	-1	
4	1	3	1	1	0	1657	171	36	17	-1	
5	1	3	1	1	1	1657	171	36	17	71	REF,
2	1	4	0	0	0	501	259	57	13	-1	
3	1	4	1	0	0	501	259	57	13	-1	
4	1	4	1	1	0	501	259	57	13	-1	
5	1	4	1	1	1	501	259	57	13	15	ae
2	1	5	0	0	0	599	321	49	35	-1	
3	1	5	1	0	0	599	321	49	35	-1	
4	1	5	1	1	0	599	321	49	35	-1	
5	1	5	1	1	1	599	321	49	35	37	(AR
2	1	6	0	0	0	606	318	34	12	-1	
3	1	6	1	0	0	606	318	34	12	-1	
4	1	6	1	1	0	606	318	34	12	-1	
5	1	6	1	1	1	606	318	34	12	0	cE
2	1	7	0	0	0	691	320	62	49	-1	
3	1	7	1	0	0	691	320	62	49	-1	
4	1	7	1	1	0	691	320	62	49	-1	
5	1	7	1	1	1	691	320	62	49	39	a
2	1	8	0	0	0	552	382	51	11	-1	
3	1	8	1	0	0	552	382	51	11	-1	
4	1	8	1	1	0	552	382	51	11	-1	
5	1	8	1	1	1	552	382	51	11	46	a
2	1	9	0	0	0	751	398	16	8	-1	
3	1	9	1	0	0	751	398	16	8	-1	
4	1	9	1	1	0	751	398	16	8	-1	
5	1	9	1	1	1	751	398	16	8	36	my
2	1	10	0	0	0	607	416	55	24	-1	
3	1	10	1	0	0	607	416	55	24	-1	
4	1	10	1	1	0	607	416	55	24	-1	
5	1	10	1	1	1	607	416	55	24	26	lige
2	1	11	0	0	0	959	439	34	30	-1	
3	1	11	1	0	0	959	439	34	30	-1	
4	1	11	1	1	0	959	439	34	30	-1	
5	1	11	1	1	1	959	439	34	30	46	Ve
2	1	12	0	0	0	655	493	43	46	-1	
3	1	12	1	0	0	655	493	43	46	-1	
4	1	12	1	1	0	655	493	43	46	-1	
5	1	12	1	1	1	655	493	43	46	15	oS
2	1	13	0	0	0	775	510	74	39	-1	
3	1	13	1	0	0	775	510	74	39	-1	
4	1	13	1	1	0	775	510	74	39	-1	
5	1	13	1	1	1	775	510	37	39	67	g
5	1	13	1	1	2	846	521	3	14	48	1
2	1	14	0	0	0	1137	447	119	97	-1	
3	1	14	1	0	0	1137	447	119	97	-1	
4	1	14	1	1	0	1137	447	119	97	-1	
5	1	14	1	1	1	1137	447	119	97	33	&
2	1	15	0	0	0	1264	527	38	18	-1	
3	1	15	1	0	0	1264	527	38	18	-1	
4	1	15	1	1	0	1264	527	38	18	-1	
5	1	15	1	1	1	1264	527	38	18	44	yo
2	1	16	0	0	0	902	462	115	90	-1	
3	1	16	1	0	0	902	462	115	90	-1	
4	1	16	1	1	0	902	462	115	90	-1	
5	1	16	1	1	1	902	462	115	90	38	by
2	1	17	0	0	0	789	546	91	71	-1	
3	1	17	1	0	0	789	546	91	71	-1	
4	1	17	1	1	0	789	546	91	71	-1	
5	1	17	1	1	1	789	546	91	71	12	8)
2	1	18	0	0	0	1174	600	104	38	-1	
3	1	18	1	0	0	1174	600	104	38	-1	
4	1	18	1	1	0	1174	600	104	38	-1	
5	1	18	1	1	1	1174	600	104	38	68	s-@
2	1	19	0	0	0	1296	551	95	70	-1	
3	1	19	1	0	0	1296	551	95	70	-1	
4	1	19	1	1	0	1296	551	95	70	-1	
5	1	19	1	1	1	1296	551	95	70	23	1
2	1	20	0	0	0	613	669	34	38	-1	
3	1	20	1	0	0	613	669	34	38	-1	
4	1	20	1	1	0	613	669	34	38	-1	
5	1	20	1	1	1	613	669	34	38	0	6Q
2	1	21	0	0	0	651	636	121	63	-1	
3	1	21	1	0	0	651	636	121	63	-1	
4	1	21	1	1	0	651	636	121	63	-1	
5	1	21	1	1	1	651	636	121	63	44	LS”
2	1	22	0	0	0	1216	637	98	55	-1	
3	1	22	1	0	0	1216	637	98	55	-1	
4	1	22	1	1	0	1216	637	98	55	-1	
5	1	22	1	1	1	1216	637	98	55	66	AA
2	1	23	0	0	0	1265	687	35	23	-1	
3	1	23	1	0	0	1265	687	35	23	-1	
4	1	23	1	1	0	1265	687	35	23	-1	
5	1	23	1	1	1	1265	687	35	23	27	MY
2	1	24	0	0	0	561	688	41	39	-1	
3	1	24	1	0	0	561	688	41	39	-1	
4	1	24	1	1	0	561	688	41	39	-1	
5	1	24	1	1	1	561	688	41	39	68	2
2	1	25	0	0	0	1143	718	46	13	-1	
3	1	25	1	0	0	1143	718	46	13	-1	
4	1	25	1	1	0	1143	718	46	13	-1	
5	1	25	1	1	1	1143	718	46	13	0	gz
2	1	26	0	0	0	1178	767	33	13	-1	
3	1	26	1	0	0	1178	767	33	13	-1	
4	1	26	1	1	0	1178	767	33	13	-1	
5	1	26	1	1	1	1178	767	33	13	65	a
2	1	27	0	0	0	1244	723	109	57	-1	
3	1	27	1	0	0	1244	723	109	57	-1	
4	1	27	1	1	0	1244	723	109	57	-1	
5	1	27	1	1	1	1244	723	109	57	17	2
2	1	28	0	0	0	418	750	5	24	-1	
3	1	28	1	0	0	418	745	86	62	-1	
4	1	28	1	1	0	418	750	5	24	-1	
5	1	28	1	1	1	418	750	5	24	0	,
2	1	29	0	0	0	213	818	49	14	-1	
3	1	29	1	0	0	213	818	49	14	-1	
4	1	29	1	1	0	213	818	49	14	-1	
5	1	29	1	1	1	213	818	49	14	11	wn
2	1	30	0	0	0	1239	774	159	51	-1	
3	1	30	1	0	0	1239	774	159	51	-1	
4	1	30	1	1	0	1239	774	159	51	-1	
5	1	30	1	1	1	1239	774	159	51	10	YD
2	1	31	0	0	0	222	848	28	22	-1	
3	1	31	1	0	0	222	848	28	22	-1	
4	1	31	1	1	0	222	848	28	22	-1	
5	1	31	1	1	1	222	848	4	22	91	\
5	1	31	1	1	2	246	853	4	11	59	J
2	1	32	0	0	0	322	839	17	13	-1	
3	1	32	1	0	0	322	839	17	13	-1	
4	1	32	1	1	0	322	839	17	13	-1	
5	1	32	1	1	1	322	839	17	13	29	BO
2	1	33	0	0	0	1242	857	45	15	-1	
3	1	33	1	0	0	1242	857	45	15	-1	
4	1	33	1	1	0	1242	857	45	15	-1	
5	1	33	1	1	1	1242	857	45	15	40	eo
2	1	34	0	0	0	1671	857	18	21	-1	
3	1	34	1	0	0	1671	857	18	21	-1	
4	1	34	1	1	0	1671	857	18	21	-1	
5	1	34	1	1	1	1671	857	18	21	95	13
2	1	35	0	0	0	220	866	31	29	-1	
3	1	35	1	0	0	220	866	31	29	-1	
4	1	35	1	1	0	220	866	31	29	-1	
5	1	35	1	1	1	220	866	31	29	4	SS
2	1	36	0	0	0	1295	828	89	56	-1	
3	1	36	1	0	0	1295	828	89	56	-1	
4	1	36	1	1	0	1295	828	89	56	-1	
5	1	36	1	1	1	1295	828	89	56	38	OD
2	1	37	0	0	0	730	920	47	25	-1	
3	1	37	1	0	0	730	920	47	25	-1	
4	1	37	1	1	0	730	920	47	25	-1	
5	1	37	1	1	1	730	920	47	25	60	om
2	1	38	0	0	0	1446	904	17	13	-1	
3	1	38	1	0	0	1446	904	17	13	-1	
4	1	38	1	1	0	1446	904	17	13	-1	
5	1	38	1	1	1	1446	904	17	13	79	+
2	1	39	0	0	0	1287	968	51	13	-1	
3	1	39	1	0	0	1287	968	51	13	-1	
4	1	39	1	1	0	1287	968	51	13	-1	
5	1	39	1	1	1	1287	968	51	13	35	WD
2	1	40	0	0	0	1344	946	69	44	-1	
3	1	40	1	0	0	1344	946	69	44	-1	
4	1	40	1	1	0	1344	946	69	44	-1	
5	1	40	1	1	1	1344	946	69	44	0	GG
2	1	41	0	0	0	1293	984	254	79	-1	
3	1	41	1	0	0	1293	984	254	79	-1	
4	1	41	1	1	0	1293	984	254	79	-1	
5	1	41	1	1	1	1293	1035	50	17	54	_
5	1	41	1	1	2	1350	984	197	79	39	Oa’
2	1	42	0	0	0	1338	1107	54	27	-1	
3	1	42	1	0	0	1338	1107	54	27	-1	
4	1	42	1	1	0	1338	1107	54	27	-1	
5	1	42	1	1	1	1338	1107	54	27	33	OL
2	1	43	0	0	0	762	1155	45	14	-1	
3	1	43	1	0	0	762	1155	45	14	-1	
4	1	43	1	1	0	762	1155	45	14	-1	
5	1	43	1	1	1	762	1155	45	14	13	a
2	1	44	0	0	0	861	1121	52	28	-1	
3	1	44	1	0	0	861	1121	52	28	-1	
