level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1728	2200	-1	
2	1	1	0	0	0	1437	71	208	19	-1	
3	1	1	1	0	0	1437	71	208	19	-1	
4	1	1	1	1	0	1437	71	208	19	-1	
5	1	1	1	1	1	1437	71	93	19	94	SECTION
5	1	1	1	1	2	1540	71	17	18	0	Hf
5	1	1	1	1	3	1581	72	64	18	76	1952-53
2	1	2	0	0	0	481	94	930	43	-1	
3	1	2	1	0	0	481	94	930	43	-1	
4	1	2	1	1	0	481	94	930	43	-1	
5	1	2	1	1	1	481	99	200	38	93	CLUTCH
5	1	2	1	1	2	710	94	369	43	93	WITHDRAWAL
5	1	2	1	1	3	1107	95	304	42	96	MECHANISM
2	1	3	0	0	0	254	155	54	21	-1	
3	1	3	1	0	0	254	155	54	21	-1	
4	1	3	1	1	0	254	155	54	21	-1	
5	1	3	1	1	1	254	155	54	21	95	PLATE
2	1	4	0	0	0	264	173	36	18	-1	
3	1	4	1	0	0	264	173	36	18	-1	
4	1	4	1	1	0	264	173	36	18	-1	
5	1	4	1	1	1	264	173	36	18	90	REF.
2	1	5	0	0	0	351	160	83	18	-1	
3	1	5	1	0	0	351	160	83	18	-1	
4	1	5	1	1	0	351	160	83	18	-1	
5	1	5	1	1	1	351	160	83	18	96	1234
2	1	6	0	0	0	538	159	183	22	-1	
3	1	6	1	0	0	538	159	183	22	-1	
4	1	6	1	1	0	538	159	183	22	-1	
5	1	6	1	1	1	538	159	183	22	96	DESCRIPTION
2	1	7	0	0	0	861	159	165	27	-1	
3	1	7	1	0	0	861	159	165	27	-1	
4	1	7	1	1	0	861	159	165	27	-1	
5	1	7	1	1	1	861	159	45	27	70	Qty.
5	1	7	1	1	2	935	160	45	21	82	Part
5	1	7	1	1	3	987	159	39	22	96	No.
2	1	8	0	0	0	1271	160	130	22	-1	
3	1	8	1	0	0	1271	160	130	22	-1	
4	1	8	1	1	0	1271	160	130	22	-1	
5	1	8	1	1	1	1271	160	130	22	96	REMARKS
2	1	9	0	0	0	280	197	581	25	-1	
3	1	9	1	0	0	280	197	581	25	-1	
4	1	9	1	1	0	280	197	581	25	-1	
5	1	9	1	1	1	280	201	4	21	75	|
5	1	9	1	1	2	326	197	115	22	81	CLUTCH
5	1	9	1	1	3	450	197	193	23	95	WITHDRAWAL
5	1	9	1	1	4	653	198	69	22	96	RACE
5	1	9	1	1	5	733	198	128	22	96	HOUSING
2	1	10	0	0	0	376	230	142	23	-1	
3	1	10	1	0	0	376	230	142	23	-1	
4	1	10	1	1	0	376	230	142	23	-1	
5	1	10	1	1	1	376	230	142	23	96	ASSEMBLY
2	1	11	0	0	0	947	232	71	22	-1	
3	1	11	1	0	0	947	232	71	22	-1	
4	1	11	1	1	0	947	232	71	22	-1	
5	1	11	1	1	1	947	232	71	22	91	231071
2	1	12	0	0	0	1048	232	72	22	-1	
3	1	12	1	0	0	1048	232	72	22	-1	
4	1	12	1	1	0	1048	232	72	22	-1	
5	1	12	1	1	1	1048	232	72	22	90	RHD
2	1	13	0	0	0	326	251	532	36	-1	
3	1	13	1	0	0	326	251	532	36	-1	
4	1	13	1	1	0	326	251	532	36	-1	
5	1	13	1	1	1	326	264	114	22	96	CLUTCH
5	1	13	1	1	2	449	264	190	22	95	WITHDRAWAL
5	1	13	1	1	3	652	251	68	36	96	RACE
5	1	13	1	1	4	731	251	127	36	96	HOUSING
2	1	14	0	0	0	375	297	142	22	-1	
3	1	14	1	0	0	375	297	142	22	-1	
4	1	14	1	1	0	375	297	142	22	-1	
5	1	14	1	1	1	375	297	142	22	96	ASSEMBLY
2	1	15	0	0	0	949	299	73	22	-1	
3	1	15	1	0	0	949	299	73	22	-1	
4	1	15	1	1	0	949	299	73	22	-1	
5	1	15	1	1	1	949	299	73	22	95	232745
2	1	16	0	0	0	1049	299	71	22	-1	
3	1	16	1	0	0	1049	299	71	22	-1	
4	1	16	1	1	0	1049	299	71	22	-1	
5	1	16	1	1	1	1049	299	71	22	96	LHD
2	1	17	0	0	0	351	330	278	28	-1	
3	1	17	1	0	0	351	330	278	28	-1	
4	1	17	1	1	0	351	330	278	28	-1	
5	1	17	1	1	1	351	330	53	22	96	Bush
5	1	17	1	1	2	413	330	30	22	96	for
5	1	17	1	1	3	452	339	51	14	93	cross
5	1	17	1	1	4	512	331	56	25	70	shaft,
5	1	17	1	1	5	578	332	51	26	96	large
2	1	18	0	0	0	947	332	74	22	-1	
3	1	18	1	0	0	947	332	74	22	-1	
4	1	18	1	1	0	947	332	74	22	-1	
5	1	18	1	1	1	947	332	74	22	94	214793
2	1	19	0	0	0	1048	332	72	22	-1	
3	1	19	1	0	0	1048	332	72	22	-1	
4	1	19	1	1	0	1048	332	72	22	-1	
5	1	19	1	1	1	1048	332	72	22	85	RHD.
2	1	20	0	0	0	351	364	278	27	-1	
3	1	20	1	0	0	351	364	278	27	-1	
4	1	20	1	1	0	351	364	278	27	-1	
5	1	20	1	1	1	351	364	53	22	96	Bush
5	1	20	1	1	2	413	364	30	22	96	for
5	1	20	1	1	3	452	373	51	13	95	cross
5	1	20	1	1	4	512	364	56	26	96	shaft,
5	1	20	1	1	5	578	365	51	26	96	large
2	1	21	0	0	0	948	366	75	21	-1	
3	1	21	1	0	0	948	366	75	21	-1	
4	1	21	1	1	0	948	366	75	21	-1	
5	1	21	1	1	1	948	366	75	21	96	217214
2	1	22	0	0	0	1048	365	72	22	-1	
3	1	22	1	0	0	1048	365	72	22	-1	
4	1	22	1	1	0	1048	365	72	22	-1	
5	1	22	1	1	1	1048	365	72	22	96	LHD
2	1	23	0	0	0	351	397	283	26	-1	
3	1	23	1	0	0	351	397	283	26	-1	
4	1	23	1	1	0	351	397	283	26	-1	
5	1	23	1	1	1	351	397	53	22	96	Bush
5	1	23	1	1	2	413	397	30	22	96	for
5	1	23	1	1	3	451	406	52	14	96	cross
5	1	23	1	1	4	512	398	57	25	96	shaft,
5	1	23	1	1	5	578	399	56	21	92	small
2	1	24	0	0	0	948	399	74	22	-1	
3	1	24	1	0	0	948	399	74	22	-1	
4	1	24	1	1	0	948	399	74	22	-1	
5	1	24	1	1	1	948	399	74	22	96	214794
2	1	25	0	0	0	351	431	251	27	-1	
3	1	25	1	0	0	351	431	251	27	-1	
4	1	25	1	1	0	351	431	251	27	-1	
5	1	25	1	1	1	351	431	69	21	96	Dowel
5	1	25	1	1	2	428	431	83	26	96	locating
5	1	25	1	1	3	520	432	82	26	96	housing
2	1	26	0	0	0	946	432	75	22	-1	
3	1	26	1	0	0	946	432	75	22	-1	
4	1	26	1	1	0	946	432	75	22	-1	
5	1	26	1	1	1	946	432	75	22	96	213700
2	1	27	0	0	0	352	464	233	27	-1	
3	1	27	1	0	0	352	464	233	27	-1	
4	1	27	1	1	0	352	464	233	27	-1	
5	1	27	1	1	1	352	464	71	22	95	Clutch
5	1	27	1	1	2	431	473	51	13	94	cross
5	1	27	1	1	3	491	465	51	22	96	shaft
5	1	27	1	1	4	550	474	35	17	96	cap
2	1	28	0	0	0	946	466	70	21	-1	
3	1	28	1	0	0	946	466	70	21	-1	
4	1	28	1	1	0	946	466	70	21	-1	
5	1	28	1	1	1	946	466	70	21	70	216161
2	1	29	0	0	0	1046	466	72	21	-1	
3	1	29	1	0	0	1046	466	72	21	-1	
4	1	29	1	1	0	1046	466	72	21	-1	
5	1	29	1	1	1	1046	466	72	21	95	LHD
2	1	30	0	0	0	351	497	341	24	-1	
3	1	30	1	0	0	351	497	341	24	-1	
4	1	30	1	1	0	351	497	341	24	-1	
5	1	30	1	1	1	351	497	53	22	96	Bush
5	1	30	1	1	2	413	497	30	22	96	for
